ID,Name,Code,Country
3113,Kaz Air West,KAW,Kazakhstan
3114,Kazan Aviation Production Association,KAO,Russia
3115,Kazan Helicopters,KPH,Russia
3116,Kazavia,KKA,Kazakhstan
3117,Kazaviaspas,KZS,Kazakhstan
3118,Keenair Charter -,JFK,United Kingdom
3119,Kelix Air,KLX,Nigeria
3120,Kelner Airways,FKL,Canada
3121,Kelowna Flightcraft Air Charter,KFA,Canada
3122,Kendell Airlines,KDA,Australia
3123,Kenmore Air,KEN,United States
3124,Kenn Borek Air,KBA,Canada
3125,Kent Aviation,KAH,Canada
3126,Kenya Airways,KQA,Kenya
3127,Kevis,KVS,Kazakhstan
3128,Key Airlines,KEY,United States
3129,Key Lime Air,LYM,United States
3130,Keystone Aerial Surveys,FTP,United States
3131,Keystone Air Services,KEE,Canada
3132,Khalifa Airways,KZW,Algeria
3133,Kharkov Aircraft Manufacturing Company,WKH,Ukraine
3134,Khazar,KHR,Turkmenistan
3135,Khoezestan Photros Air Lines,KHP,Iran
3136,Khoriv-Avia,KRV,Ukraine
3137,Khors Aircompany,KHO,Ukraine
3138,Khyber Afghan Airlines,KHY,Afghanistan
3139,Kiev Aviation Plant,UAK,Ukraine
3140,King Aviation,KNG,United Kingdom
3141,Kingfisher Air Services,BEZ,United States
3142,Kingfisher Airlines,KFR,India
3143,Knighthawk Air Express,KNX,Canada
3144,Kingston Air Services,KAS,Canada
3145,Kinnarps,KIP,Sweden
3146,Kinshasa Airways,KNS,Democratic Republic of the Congo
3147,Kirov Air Enterprise,KTA,Russia
3148,Kish Air,IRK,Iran
3149,Kitty Hawk Aircargo,KHA,United States
3150,Kitty Hawk Airways,KHC,United States
3151,Kiwi International Air Lines,KIA,United States
3152,Knight Air,KNA,Canada
3153,Knighthawk Express,KHX,United States
3154,Knights Airlines,KGT,Nigeria
3155,Koanda Avacion,KOA,Spain
3156,Koda International,OYE,Nigeria
3157,Kogalymavia Air Company,KGL,Russia
3158,Kom Activity,KOM,Netherlands
3159,Komiaviatrans State Air Enterprise,KMA,Russia
3160,Komiinteravia,KMV,Russia
3161,Komsomolsk-on-Amur Air Enterprise,KNM,Russia
3162,Koob-Corp - 96 KFT,KOB,Hungary
3163,Korean Air,KAL,Republic of Korea
3164,Kosmas Air,KMG,Serbia
3165,Kosmos,KSM,Russia
3166,Kosova Airlines,KOS,Serbia
3167,Kovar Air,WOK,Czech Republic
3168,Krasnojarsky Airlines,KJC,Russia
3169,Kremenchuk Flight College,KFC,Ukraine
3170,Krimaviamontag,KRG,Ukraine
3171,Kroonk Air Agency,KRO,Ukraine
3172,Krylo Airlines,KRI,Russia
3173,Krym,KYM,Ukraine
3174,Krystel Air Charter,OPC,United Kingdom
3175,Kuban Airlines,KIL,Russia
3176,Kunpeng Airlines,KPA,China
3177,Kurzemes Avio,KZA,Russia
3178,Kustbevakningen,KBV,Sweden
3179,Kuwait Airways,KAC,Kuwait
3180,Kuzu Airlines Cargo,KZU,Turkey
3181,Kvadro Aero,QVR,Kyrgyzstan
3182,Kwena Air,KWN,South Africa
3183,Kyrgyz Airlines,KGZ,Kyrgyzstan
3184,Kyrgyz Trans Avia,KTC,Kyrgyzstan
3185,Kyrgyzstan,LYN,Kyrgyzstan
3186,Kyrgyzstan Airlines,KGA,Kyrgyzstan
3187,Kyrgyzstan Department of Aviation,DAM,Kyrgyzstan
3188,Kyrgz General Aviation,KGB,Kyrgyzstan
3189,Kibris T,KYV,Turkey
3190,L A Helicopter,LAH,United States
3191,L J Aviation,LJY,United States
3192,L R Airlines,LRB,Czech Republic
3193,L&L Flygbildteknik,PHO,Sweden
3194,L'Express,LEX,United States
3195,L-3 Communications Flight Internation Aviation,FNT,United States
3196,L.A.B. Flying Service,LAB,United States
3197,LACSA,LRC,Costa Rica
3198,LADE - Lineas Aereas Del Estado,LDE,Argentina
3199,LAI - Linea Aerea IAACA,BNX,Venezuela
3200,LAN Airlines,LAN,Chile
3201,LAN Argentina,DSM,Argentina
3202,LAN Cargo,LCO,Chile
3203,LAN Dominica,LNC,Dominican Republic
3204,LAN Express,LXP,Chile
3205,LAN Peru,LPE,Peru
3206,LANSA,LSA,Dominican Republic
3207,LAP Colombia - Lineas Aereas Petroleras,APT,LAP
3208,LASTP,OTN,S
3209,LC Busre,LCB,Peru
3210,LOT Polish Airlines,LOT,Poland
3211,LTE International Airways,LTE,Spain
3212,LTU Austria,LTO,Austria
3213,LTU International,LTU,Germany
3214,LTV Jet Fleet Corporation,JFC,United States
3215,LUKoil-Avia,LUK,Russia
3216,La Ronge Aviation Services,ASK,Canada
3217,La Valenciana Taxi Aereo,LVT,Mexico
3218,Labcorp,SKQ,United States
3219,Labrador Airways,LAL,Canada
3220,Lagun Air,JEV,Spain
3221,Lake Havasu Air Service,HCA,United States
3222,Lakeland Aviation,LKL,United States
3223,Laker Airways,LKR,United States
3224,Laker Airways (Bahamas),LBH,United States
3225,Lamra,LMR,Sudan
3226,Lanaes Aereas Trans Costa Rica,TCR,Costa Rica
3227,Landsflug,ISL,Iceland
3228,Langtry Flying Group,PAP,United Kingdom
3229,Lankair,LKN,Sri Lanka
3230,Lanza Air,LZA,Spain
3231,Lanzarote Aerocargo,LZT,Spain
3232,Lao Air Company,LLL,Lao Peoples Democratic Republic
3233,Lao Airlines,LAO,Lao Peoples Democratic Republic
3234,Lao Capricorn Air,LKA,Lao Peoples Democratic Republic
3235,Laoag International Airlines,LPN,Philippines
3236,Laredo Air,LRD,United States
3237,LatCharter,LTC,Latvia
3238,Latvian Air Force,LAF,Latvia
3239,Lauda Air,LDA,Austria
3240,Lauda Air Italy,LDI,Italy
3241,Laughlin Express,LEP,United States
3242,Laus,LSU,Croatia
3243,Lawrence Aviation,LAR,United States
3244,Layang-Layang Aerospace,LAY,Malaysia
3245,Lease-a-Plane International,LPL,United States
3246,Lebanese Air Transport,LAQ,Lebanon
3247,Lebanese Air Transport (Charter),LAT,Lebanon
3248,Lebanon Airport Development Corporation,LAD,United States
3250,Leconte Airlines,LCA,United States
3251,Leeward Islands Air Transport,LIA,Antigua and Barbuda
3252,Legend Airlines,LGD,United States
3253,Leisure Air,LWD,United States
3254,Lentini Aviation,LEN,United States
3255,Leo-Air,LOR,South Africa
3256,Leonsa De Aviacion,LEL,Spain
3257,Libyan Airlines,LYW,Libya
3258,Libyan Arab Airlines,LAA,Libya
3259,Libyan Arab Air Cargo,LCR,Libya
3260,Lid Air,LIQ,Sweden
3261,Lignes Aeriennes Congolaises,LCG,Democratic Republic of the Congo
3262,Lignes Aeriennes Du Tchad,LKD,Chad
3263,Lignes Mauritaniennes Air Express,LME,Mauritania
3264,Lignes Nationales Aeriennes - Linacongo,GCB,Republic of the Congo
3265,Lincoln Air National Guard,GDQ,United States
3266,Lincoln Airlines,LRT,Australia
3267,Lindsay Aviation,LSY,United States
3268,Linea Aerea Costa Norte,NOT,Chile
3269,Linea Aerea Mexicana de Carga,LMC,Mexico
3270,Linea Aerea SAPSA,LNP,Chile
3271,Linea Aerea de Fumig Aguas Negras,NEG,Chile
3272,Linea Aerea de Servicio Ejecutivo Regional,LER,Venezuela
3273,Linea De Aeroservicios,LSE,Chile
3274,Linea Turistica Aerotuy,TUY,Venezuela
3275,Lineas Aereas Alaire S.L.,ALR,Spain
3276,Lineas Aereas Azteca,LCD,Mexico
3277,Lineas Aereas Canedo LAC,LCN,Bolivia
3278,Lineas Aereas Comerciales,LCM,Mexico
3279,Lineas Aereas Ejectuivas De Durango,EDD,Mexico
3280,Lineas Aereas Eldorado,EDR,Colombia
3281,Lineas Aereas Federales,FED,Argentina
3282,Lineas Aereas Monarca,LMN,Mexico
3283,Lineas Aereas San Jose,LIJ,Mexico
3284,Lineas Aereas del Humaya,UMA,Mexico
3285,Linex,LEC,Central African Republic
3286,Linhas Aereas Santomenses,SMS,S
3287,Linhas A,LAM,Mozambique
3288,Link Airways of Australia,LAW,Australia
3289,Lion Air Services,WGT,United Kingdom
3290,Lion Mentari Airlines,LNI,Indonesia
3291,Lions-Air,LEU,Switzerland
3292,Lithuanian Air Force,LYF,Lithuania
3293,Little Red Air Service,LRA,Canada
3294,Livingston,LVG,Italy
3295,Lloyd Aereo Boliviano,LLB,Bolivia
3296,Lnair Air Services,LNA,Spain
3297,Lockheed Air Terminal,XLG,United States
3298,Lockeed Aircraft Corporation,LAC,United States
3299,Lockheed DUATS,XDD,United States
3300,Lockheed Martin Aeronautics,CBD,United States
3301,Lockheed Martin Aeronautics Company,LNG,United States
3302,Logan Air,LOG,United Kingdom
3303,Lom Praha Flying School,CLV,Czech Republic
3304,Lomas Helicopters,LMS,United Kingdom
3305,London City Airport Jet Centre,LCY,United Kingdom
3306,London Executive Aviation,LNX,United Kingdom
3307,London Flight Centre (Stansted),LOV,United Kingdom
3308,London Helicopter Centres,LHC,United Kingdom
3309,Lone Star Airlines,LSS,United States
3310,Long Island Airlines,ORA,United States
3311,Longtail Aviation,LGT,Bermuda
3312,Lorraine Aviation,LRR,France
3313,Los Cedros Aviacion,LSC,Chile
3314,Lotus Air,TAS,Egypt
3315,Luchtvaartmaatschappij Twente,LTW,Netherlands
3316,Lucky Air,LKE,China
3317,Luft Carago,LUT,South Africa
3318,Luftfahrt-Vermietungs-Dienst,LVD,Austria
3319,Luftfahrtgesellschaft Walter,LGW,Germany
3320,Lufthansa,DLH,Germany
3321,Lufthansa Cargo,GEC,Germany
3322,Lufthansa CityLine,CLH,Germany
3323,Lufthansa Systems,,Germany
3324,Lufthansa Technik,LHT,Germany
3325,Lufttaxi Fluggesellschaft,LTF,Germany
3326,Lufttransport,LTR,Norway
3327,Luhansk,LHS,Ukraine
3328,Lund University School of Aviation,UNY,Sweden
3329,Luxair,LGL,Luxembourg
3330,Luxaviation,LXA,Luxembourg
3331,Luxembourg Air Rescue,LUV,Luxembourg
3332,Luxflight Executive,LFE,Luxembourg
3333,Luxor Air,LXO,Egypt
3334,Luzair,LUZ,Portugal
3335,Lviv Airlines,UKW,Ukraine
3336,Lydd Air,LYD,United Kingdom
3337,Lynch Flying Service,LCH,United States
3338,Lynden Air Cargo,LYC,United States
3339,Lynx Air International,LXF,United States
3340,Lynx Aviation,LYX,Pakistan
3342,L,LPR,Argentina
3343,L,LAU,Colombia
3344,M & N Aviation,JNH,United States
3345,MAC Fotografica,MCF,Spain
3346,MANAG'AIR,MRG,France
3347,MAP-Management and Planung,MPJ,Austria
3348,MAS Airways,TFG,United Kingdom
3349,MasAir,MAA,Mexico
3350,MAT Macedonian Airlines,MAK,Macedonia
3351,MCC Aviation,MCC,South Africa
3352,MG Aviacion,MGA,Spain
3353,MIA Airlines,JLA,Romania
3354,MIAT Mongolian Airlines,MGL,Mongolia
3355,MIT Airlines,MNC,Canada
3356,MK Airline,MKA,Ghana
3357,MNG Airlines,MNB,Turkey
3358,MSR Flug-Charter,EBF,Germany
3359,MTC Aviacion,MCV,Mexico
3360,Mac Aviation,MAQ,Spain
3361,Mac Dan Aviation Corporation,MCN,United States
3362,MacKnight Airlines,MTD,Australia
3363,Macair Airlines,MCK,Australia
3364,Macedonian Airlines,MCS,Greece
3365,Madina Air,MDH,Libya
3366,Maersk,,Denmark
3367,Magic Blue Airlines,MJB,Netherlands
3368,Magna Air,MGR,Austria
3369,Mahalo Air,MLH,United States
3370,Mahan Air,IRM,Iran
3371,Mahfooz Aviation,MZS,Gambia
3372,Maine Aviation,MAT,United States
3373,Majestic Airlines,MAJ,United States
3374,Mak Air,AKM,Kazakhstan
3375,Malagasy Airlines,MLG,Madagascar
3376,Malawi Express,MLX,Malawi
3377,Malaya Aviatsia Dona,MKK,Russia
3378,Malaysia Airlines,MAS,Malaysia
3379,Mali Air,MAE,Austria
3380,Mali Air Express,VXP,Mali
3381,Mali Airways,MTZ,Mali
3382,Malila Airlift,MLC,Democratic Republic of the Congo
3383,Mall Airways,MLS,United States
3384,Malmo Aviation,SCW,Sweden
3385,Malmoe Air Taxi,LOD,Sweden
3386,Malmö Aviation,SCW,Sweden
3387,Malta Air Charter,MAC,Malta
3388,Malta Wings,MWS,Malta
3389,Malév,MAH,Hungary
3390,Manaf International Airways,MLB,Burundi
3391,Mandala Airlines,MDL,Indonesia
3392,Mandarin Airlines,MDA,Taiwan
3393,Mango,MNO,South Africa
3394,Manhattan Air,MHN,United Kingdom
3395,Manitoulin Air Services,MTO,Canada
3396,Mann Air,MNR,United Kingdom
3397,Mannion Air Charter,MAN,United States
3398,Mantrust Asahi Airways,MTS,Indonesia
3399,Manx Airlines,MNX,United Kingdom
3400,Maple Air Services,MAD,Canada
3401,March Helicopters,MAR,United Kingdom
3402,Marcopolo Airways,MCP,Afghanistan
3403,Marghi Air,MGI,Nigeria
3404,Markair,MRK,United States
3405,Markoss Aviation,MKO,United Kingdom
3406,Mars RK,MRW,Ukraine
3407,Marshall Aerospace,MCE,United Kingdom
3408,Marsland Aviation,MSL,Sudan
3409,Martin Aviation Services,XMA,United States
3410,Martin-Baker,MBE,United Kingdom
3411,Martinair,MPH,Netherlands
3412,Martinaire,MRA,United States
3413,Martyn Fiddler Associates,MFA,United Kingdom
3414,Marvin Limited,MVN,United Kingdom
3415,Maryland State Police,TRP,United States
3416,Massachusetts Institute of Technology,MTH,United States
3417,Massey University School of Aviation,MSY,New Zealand
3418,Master Airways,MSW,Serbia
3419,Master Planner,MPL,United States
3420,Masterjet,LMJ,Portugal
3421,Mastertop Linhas Aereas,,Brazil
3422,Mauria,MIA,Mauritania
3423,Mauritanienne Aerienne Et Navale,MNV,Mauritania
3424,Mauritanienne Air Fret,MRF,Mauritania
3425,Mauritanienne Airways,MWY,Mauritania
3426,Mauritanienne De Transport Aerien,MDE,Mauritania
3427,Maverick Airways,MVR,United States
3428,Mavial Magadan Airlines,MVL,Russia
3429,Max Avia,MAI,Kyrgyzstan
3430,Max Sea Food,MSF,El Salvador
3431,Max-Aviation,MAX,Canada
3432,Maxair,MXL,Sweden
3433,Maximus Air Cargo,MXU,United Arab Emirates
3434,Maxjet Airways,MXJ,United States
3435,Maxsus-Avia,MXS,Uzbekistan
3436,May Air Xpress,MXP,United States
3437,Maya Island Air,MYD,Belize
3438,Mayair,MYI,Mexico
3439,Mbach Air,MBS,Malawi
3440,McAlpine Helicopters,MCH,United Kingdom
3441,McCall Aviation,MKL,United States
3442,McDonnell Douglas,DAC,United States
3443,McNeely Charter Services,MDS,United States
3444,Med-Trans of Florida,MEK,United States
3445,Medavia Company,MDM,Malta
3446,Medical Air Rescue Services,MRZ,Zimbabwe
3447,Medical Aviation Services,MCL,United Kingdom
3448,Mediterranean Air Freight,MDF,Greece
3449,Mediterranean Airways,MDY,Egypt
3450,Medjet International,MEJ,United States
3451,Mega,MGK,Kazakhstan
3452,Mega Linhas Aereas,MEL,Brazil
3453,Mekong Airlines,MKN,Cambodia
3454,Menajet,MNJ,Lebanon
3456,Merchant Express Aviation,MXX,Nigeria
3457,Mercury Aircourier Service,MEC,United States
3458,Meridian,POV,Ukraine
3459,Meridian Air Cargo,MRD,United States
3460,Meridian Airlines,MHL,Nigeria
3461,Meridian Aviation,DSL,United Kingdom
3462,Meridian Limited,MEM,Ukraine
3463,Meridiana,ISS,Italy
3464,Merlin Airways,MEI,United States
3465,Merpati Nusantara Airlines,MNA,Indonesia
3466,Mesa Airlines,ASH,United States
3467,Mesaba Airlines,MES,United States
3468,Meta Linhas A,MSQ,Brazil
3469,Meteorological Research Flight,MET,United Kingdom
3470,Methow Aviation,MER,United States
3471,Metro Business Aviation,MVI,United Kingdom
3472,Metro Express,MEX,United States
3473,Metroflight,MTR,United States
3474,Metrojet,MTJ,Hong Kong SAR of China
3475,Metropix UK,PIX,United Kingdom
3476,Metroplis,MPS,Netherlands
3477,Mex Blue,MXB,Mexico
3478,Mex-Jet,MJT,Mexico
3479,Mexicana de Aviaci,MXA,Mexico
3480,Mexico Transportes Aereos,MXT,Mexico
3481,Miami Air Charter,HUR,United States
3482,Miami Air International,BSK,United States
3483,Miami Valley Aviation,OWL,United States
3484,Miapet-Avia,MPT,Armenia
3485,Michelin Air Services,BIB,France
3486,Micromatter Technology Solutions,WIZ,United Kingdom
3487,Mid Airlines,NYL,Sudan
3488,Mid-Pacific Airlines,MPA,United States
3489,Midamerica Jet,MJR,United States
3490,Middle East Airlines,MEA,Lebanon
3491,Midland Airport Services,MID,United Kingdom
3492,Midline Air Freight,MFR,United States
3493,Midstate Airlines,MIS,United States
3494,Midway Airlines,MDW,United States
3495,Midway Express,FLA,United States
3496,Midwest Air Freighters,FAX,United States
3497,Midwest Airlines,MEP,United States
3498,Midwest Airlines (Egypt),MWA,Egypt
3499,Midwest Aviation,NIT,United States
3500,Midwest Aviation Division,MWT,United States
3501,Midwest Helicopters De Mexico,HTE,Mexico
3502,Millardair,MAB,Canada
3503,Millen Corporation,RJM,United Kingdom
3504,Millennium Air,MLK,Nigeria
3505,Miller Flying Services,MFS,United States
3506,Million Air,OXO,United States
3507,Mimino,MIM,Russia
3508,Mina Airline Company,NAB,Egypt
3509,Minair,OMR,Central African Republic
3510,Minebea Technologies,EBE,United States
3511,Mines Air Services Zambia,MAZ,Zambia
3512,Miniliner,MNL,Italy
3513,Ministic Air,MNS,Canada
3514,Ministry of Agriculture,WDG,WATCHDOG
3515,Minsk Aircraft Overhaul Plant,LIR,Belarus
3516,Miramichi Air Service,MIR,Canada
3517,Miras,MIF,Kazakhstan
3518,Misr Overseas Airways,MOS,Egypt
3519,Mission Aviation Fellowship,MAF,Indonesia
3520,Missionair,MSN,Spain
3521,Missions Gouvernemtales Francaises,MRN,France
3522,Mississippi State University,BDG,United States
3523,Mississippi Valley Airways,MVA,United States
3524,Mistral Air,MSA,Italy
3525,Mobil Oil,MBO,Canada
3526,Mocambique Expresso,MXE,Mozambique
3527,Mofaz Air,MFZ,Malaysia
3528,Moldaeroservice,MLE,Moldova
3529,Moldavian Airlines,MDV,Moldova
3530,Moldova,MVG,Moldova
3531,Mombasa Air Safari,RRV,Kenya
3532,Monarch Airlines,MON,United Kingdom
3533,Monarch Airlines,MNH,United States
3534,Myway Airlines,,Italy
3535,Moncton Flying Club,MFC,Canada
3536,Monde Air Charters,MDB,United Kingdom
3537,Monerrey Air Taxi,MTI,Mexico
3538,Monky Aerotaxis,MKY,Mexico
3539,Montenegro Airlines,MGX,Montenegro
3540,Montserrat Airways,MNT,Montserrat
3541,Mooney Aircraft Corporation,MNY,United States
3542,Morningstar Air Express,MAL,Canada
3543,Morris Air Service,MSS,United States
3544,Morrison Flying Service,MRO,United States
3545,Moskovia Airlines,GAI,Russia
3546,Mosphil Aero,MPI,Philippines
3547,Motor Sich,MSI,Ukraine
3548,Mount Cook Airlines,NZM,New Zealand
3549,Mountain Air Cargo,MTN,United States
3550,Mountain Air Company,MTC,Sierra Leone
3551,Mountain Air Express,PKP,United States
3552,Mountain Air Service,BRR,United States
3553,Mountain Bird,MBI,United States
3554,Mountain High Aviation,MHA,United States
3555,Mountain Pacific Air,MPC,Canada
3556,Mountain Valley Air Service,MTV,United States
3557,Mowhawk Airlines,MOW,United States
3558,Mudan Airlines,MDN,Somali Republic
3559,Mudanjiang General Aviation,CMJ,China
3560,Multi Taxi,MTX,Mexico
3561,Multi-Aero,WBR,United States
3562,Multiflight,MFT,
3563,Murmansk Aircompany,MNZ,Russia
3564,Murray Air,MUA,United States
3565,Musrata Air Transport,MMR,Libya
3566,Mustique Airways,MAW,Barbados
3567,My Way Airlines,MYW,Italy
3568,MyTravel Airways,MYT,United Kingdom
3569,Myanma Airways,UBA,Myanmar
3570,Myanmar Airways International,MMM,Myanmar
3571,Myflug,MYA,Iceland
3572,Mytravel Airways,VKG,Denmark
3573,NEL Cargo,NLG,Ivory Coast
3574,NHT Lineas Aereas,NHG,Brazil
3575,NZ Warbirds Association,WAR,New Zealand
3576,Nacoia Lda,ANL,Angola
3577,Nada Air Service,NHZ,Chad
3578,Compangnie Nationale Naganagani,BFN,Burkina Faso
3579,Nahanni Air Services Ltd,NAH,Canada
3580,Nakheel Aviation,NKL,United Arab Emirates
3581,Namibia Commerical Aviation,MRE,Namibia
3582,Namibian Defence Force,NDF,Namibia
3583,Nanjing Airlines,CNJ,China
3584,Nantucket Airlines,ACK,United States
3585,Nanyah Aviation,NYA,Israel
3586,Napier Air Service Inc,NAP,United States
3587,Nas Air,NCM,Angola
3588,Nas Air,,Mali
3589,Nasair,NAS,Eritrea
3590,Nashville Jet Charters,NJC,United States
3591,Natalco Air Lines,NCO,S
3592,Natioanl Air Traffic Controllers Association,NTK,United States
3593,National Air Charter,NSR,Indonesia
3594,National Air Traffic Services,RFI,United Kingdom
3595,National Airlines,NAN,United States
3596,National Airlines,NCN,Chile
3597,National Airlines,ROK,United States
3598,National Airlines,NAL,United States
3599,National Airlines,KUS,South Africa
3600,National Airways Cameroon,,Cameroon
3601,National Airways Corporation,LFI,South Africa
3602,National Aviation Company,GTY,Egypt
3603,National Aviation Consultants,TNC,Canada
3604,National Express,NXT,United States
3605,National Grid,GRD,United Kingdom
3606,National Jet Express,JTE,Australia
3607,National Jet Service,AND,United States
3608,National Jet Systems,NJS,Australia
3609,National Oceanic and Atmospheric Administration,NAA,United States
3610,National Overseas Airlines Company,NOL,Egypt
3611,Nationale Luchtvaartschool,NLS,Netherlands
3612,Nations Air Express Inc,NAE,United States
3613,Nationwide Airlines,NTW,South Africa
3614,Nationwide Airlines (Zambia),NWZ,Zambia
3615,Natural Environment Research Council,EVM,United Kingdom
3616,Natureair,NRR,Costa Rica
3617,Naturelink Charter,NRK,South Africa
3618,Nauru Air Corporation,RON,Nauru
3619,NAV CANADA,NVC,Canada
3620,Nav Flight Planning,NAV,Czech Republic
3621,Navegacao Aerea De Portugal,NVP,Portugal
3622,Navegacion Servicios Aereos Canarios SA,NAY,Spain
3623,Navid,IRI,Iran
3624,Naviera Mexicana,NVM,Mexico
3625,Navigator Airlines,NVL,Armenia
3626,Navinc Airlines Services,XNV,United States
3627,Navitaire,,United States
3628,Navtech System Support,XNS,Canada
3629,Nayzak Air Transport,NZA,Libya
3630,State of Nebraska,NEB,United States
3631,Necon Air,NEC,Nepal
3632,Nederlandse Kustwacht,NCG,Netherlands
3633,Nefteyugansk Aviation Division,NFT,Russia
3634,Neiltown Air,NLA,Canada
3635,Nelair Charters,NLC,South Africa
3636,Nelson Aviation College,CGE,New Zealand
3637,Nepal Airlines,RNA,Nepal
3638,Neos,NOS,Italy
3639,Neosiam Airways,TOX,Thailand
3640,Neric,NSL,United Kingdom
3641,NetJets,EJA,United States
3642,Network Aviation Services,NET,Nigeria
3643,New England Air Express,NEZ,United States
3644,New England Airlines,NEA,United States
3645,New Heights 291,NHT,South Africa
3646,New World Jet Corporation,NWD,United States
3647,New York Helicopter,NYH,United States
3648,New York State Police,GRY,United States
3649,New Zealand Air Defence Force,KRC,New Zealand
3650,Newair,HVA,United States
3651,Newfoundland Labrador Air Transport,NLT,Canada
3652,NextJet,NTJ,Sweden
3653,Nextflight Aviation,NXF,United States
3654,Nexus Aviation,NXS,Nigeria
3655,Nicaraguense De Aviacion,NIS,Nicaragua
3656,Nicon Airways,NCN,Nigeria
3657,Nigeria Airways,NGA,Nigeria
3658,Nigerian Air Force,NGR,Nigeria
3659,Nigerian Global,NGX,Nigeria
3660,Night Express,EXT,Germany
3661,Niki,NLY,Austria
3662,Nikolaev-Air,NKV,Ukraine
3663,Nile Safaris Aviation,NSA,Sudan
3664,Nile Valley Aviation Company,NVA,Egypt
3665,Nile Wings Aviation Services,NLW,Sudan
3666,Nimbus Aviation,NBS,United Kingdom
3667,Nippon Cargo Airlines,NCA,Japan
3668,Nizhnevartovskavia,NVK,Russia
3669,Search and Rescue 202,SRG,United Kingdom
3670,Search and Rescue 22,SRD,United Kingdom
3671,No. 32 (The Royal) Squadron RAF,NOH,United Kingdom
3672,84 Squadron Royal Air Force @ RAF Akrotiri,AKG,United Kingdom
3673,Nobil Air,NBL,Moldova
3674,Nok Air,NOK,Thailand
3675,Nolinor Aviation,NRL,Canada
3676,Nomad Aviation,NMD,Namibia
3677,Norcopter,NOC,Norway
3678,Nord-Flyg,NEF,Sweden
3679,Nordeste Linhas Aereas Regionais,NES,Brazil
3680,Nordic Regional,NRD,Sweden
3681,Nordic Solutions,NVD,Lithuania
3682,Nordstree (Australia),NDS,Australia
3683,Norestair,NRT,Spain
3684,Norfolk County Flight College,NCF,United Kingdom
3685,Norontair,NOA,Canada
3686,Norrlandsflyg,HMF,Sweden
3687,Norse Air Charter,NRX,South Africa
3688,Norsk Flyrjeneste,NIR,Norway
3689,Norsk Helikopter,NOR,Norway
3690,Norsk Luftambulanse,DOC,Norway
3691,Nortavia,RTV,Portugal
3692,North Adria Aviation,NAI,Croatia
3693,North American Airlines,NTM,Canada
3694,North American Charters,HMR,Canada
3695,North American Jet Charter Group,NAJ,United States
3696,North Atlantic Air Inc,NAT,United States
3697,North Atlantic Cargo,NFC,Norway
3698,North British Airlines,NBN,United Kingdom
3699,North Caribou Flying Service Ltd,NCB,Canada
3700,North Coast Air Services Ltd,NCC,Canada
3701,North Coast Aviation,,Papua New Guinea
3702,North Flying,NFA,Denmark
3703,North Sea Airways,NRC,Netherlands
3704,North Star Air Cargo,SBX,United States
3705,North Vancouver Airlines,NRV,Canada
3706,North West Airlines,NWW,Australia
3707,North West Geomatics,PTO,Canada
3708,North-East Airlines,NEN,Nigeria
3709,North-West Air Transport Company - Vyborg,VBG,Russia
3710,North-Wright Airways,NWL,Canada
3711,Northafrican Air Transport,NLL,Libya
3712,Northaire Feight Lines,NFL,United States
3713,Northamptonshire School of Flying,NSF,United Kingdom
3714,Northcoast Executive Airlines,NCE,United States
3715,Northeast Airlines,NEE,United States
3716,Northeast Aviation,NPX,United States
3717,Northern Air Cargo,NAC,United States
3718,Northern Airlines Sanya,BYC,China
3719,Northern Airways,NDA,United States
3720,Northern Aviation Service,CMU,Thailand
3721,Northern Dene Airways,,Canada
3722,Northern Executive Aviation,NEX,United Kingdom
3723,Northern Illinois Commuter,NIC,United States
3724,Northern Jet Management,NTX,United States
3725,Northern Thunderbird Air,NTA,Canada
3726,Northland Aviation,KOE,United States
3727,Northstar Aviation,NSS,United States
3728,Northumbria Helicopters,NHL,United Kingdom
3729,Northway Aviation Ltd,NAL,Canada
3730,Northwest Aero Associates,NWE,United States
3731,Northwest Airlines,NWA,United States
3732,Northwest Regional Airlines,NWR,Australia
3733,Northwest Territorial Airways,NWT,Canada
3734,Northwestern Air,PLR,Canada
3735,Northwinds Northern,NWN,Canada
3736,Nortland Air Manitoba,NAM,Canada
3737,Norwegian Air Shuttle,NAX,Norway
3738,Norwegian Aviation College,TFN,Norway
3739,Notams International,XNT,United States
3740,Nouvel Air Tunisie,LBT,Tunisia
3741,Nova Airline,NOV,Sudan
3742,Nova Scotia Department of Lands and Forests,PTR,Canada
3743,Novair,NVR,Sweden
3744,Novogorod Air Enterprise,NVG,Russia
3745,Novosibirsk Aircraft Repairing Plant,NSP,Russia
3746,Novosibirsk Aviaenterprise,NBE,Russia
3747,Novosibirsk Aviation Production Association,NPO,Russia
3748,Noy Aviation,NOY,Israel
3749,Nuevo Continente,ACQ,Peru
3750,Nuevo Horizonte Internacional,NHR,Mexico
3751,Nunasi-Central Airlines,NUN,Canada
3752,Nurman Avia Indopura,NIN,Indonesia
3753,Nyasa Express,NYS,Malawi
3754,Nas Air,KNE,Saudi Arabia
3755,O Air,OCN,France
3756,O'Connor Airlines,OCM,Australia
3757,OAG,,United Kingdom
3758,OSACOM,JPA,United States
3759,Oasis Hong Kong Airlines,OHK,Hong Kong
3760,Ocean Air,BCN,Mauritania
3761,Ocean Airlines,VCX,Italy
3762,Ocean Sky (UK),OCS,United Kingdom
3763,Ocean Wings Commuter Service,TUK,United States
3764,Oceanair,ONE,Brazil
